test,Acceptable if,lag_order,aic,bic,total_acf_lag_exceedances,stable_system,multivariate_whiteness_p_value
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",1,-6.079903678440894,-5.765123801642937,16,True,5.1918712569349034e-20
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",2,-6.285709423731049,-5.707460595097242,14,True,3.786160507201204e-11
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",3,-6.291347786262174,-5.448574914375476,11,True,3.067957591391051e-10
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",4,-6.272364984585601,-5.164005910262743,7,True,2.3462132891612104e-08
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",5,-6.321561579091246,-4.946547009542664,6,True,4.6719450344221005e-05
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",6,-6.293506558413888,-4.650760000619087,5,True,0.0001710844040953594
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",7,-6.275023135716515,-4.363460829003452,7,True,0.00022064381748853912
Lag-order residual autocorrelation robustness,"stable system, fewer ACF exceedances, and Portmanteau p-value > 0.05 are preferred",8,-6.219790695187997,-4.038321543004926,6,True,0.00010568604366367802
