test,Acceptable if,equation,jarque_bera_stat,jarque_bera_p_value,skewness,kurtosis_pearson,reject_normality_at_5pct,multivariate_normality_stat,multivariate_normality_p_value,multivariate_normality_method
Jarque-Bera residual normality,Jarque-Bera p-value > 0.05 is preferred for approximately normal residuals,INF,134.41270542276493,6.496087537954426e-30,-0.07970439753963741,6.000898935355942,True,,,
Jarque-Bera residual normality,Jarque-Bera p-value > 0.05 is preferred for approximately normal residuals,D_FEDFUNDS,2468.456121486732,0.0,-1.9876874714833772,15.18001880385718,True,,,
Jarque-Bera residual normality,Jarque-Bera p-value > 0.05 is preferred for approximately normal residuals,UNRATE,410012.44358249725,0.0,10.346708100425248,166.7666334308794,True,,,
Jarque-Bera residual normality,Jarque-Bera p-value > 0.05 is preferred for approximately normal residuals,INDPRO_GROWTH,33702.223193220256,0.0,-4.362251134353529,49.51765336780856,True,,,
Jarque-Bera residual normality,Jarque-Bera p-value > 0.05 is preferred for approximately normal residuals,SENTIMENT_CHANGE,17.269661200916243,0.00017780366883885675,-0.31724199143854037,3.875143581488638,True,,,
Multivariate residual normality,system normality p-value > 0.05 is preferred; rejection is common during crisis periods,SYSTEM,,,,,True,398782.2403822837,0.0,statsmodels VAR normality test
