,count,mean,std,min,25%,50%,75%,max
CPI,376.0,222.74122074468085,47.71377326390297,150.5,181.425,218.94650000000001,251.067,332.407
UNRATE,376.0,5.513297872340425,1.8054535981396644,3.4,4.3,5.0,5.925000000000001,14.8
FEDFUNDS,376.0,2.5638563829787233,2.2326051200303683,0.05,0.1775,1.91,5.07,6.54
INDPRO,376.0,94.62051382978724,7.95424558458992,71.1882,90.63929999999999,97.6636,100.845225,104.1004
M2,376.0,10655.838563829786,5990.244152315402,3489.9,5745.35,8703.3,14146.550000000001,22804.5
UMCSENT,376.0,84.47127659574468,14.861401440172372,49.8,73.125,87.9,95.825,112.0
