date,actual_inflation_yoy,forecast_inflation_yoy,lower_95,upper_95
2023-05-01,4.131851231385042,5.047202606913834,4.3295815205062205,5.764823693321448
2023-06-01,3.070617072997095,4.833360632235568,3.60363087525638,6.063090389214755
2023-07-01,3.287749268428297,4.7533093017257375,3.2033867521317454,6.30323185131973
2023-08-01,3.722504803505289,4.845900426828579,3.058001106510842,6.633799747146316
2023-09-01,3.687206638119256,4.801750768630871,2.825517543636149,6.777983993625593
2023-10-01,3.2512659098611785,4.776695516236387,2.6463938814911816,6.906997150981592
2023-11-01,3.1333462745911866,4.735490715343412,2.4765435765977344,6.994437854089089
2023-12-01,3.3159099427102934,4.6180369687764715,2.2501720830705514,6.985901854482392
2024-01-01,3.0883429864855705,4.468294531376046,2.007290808498944,6.929298254253148
2024-02-01,3.157074141648697,4.4561231878235485,1.9148765909828045,6.997369784664293
2024-03-01,3.4868349120836584,4.241779254378134,1.6309998848287193,6.852558623927548
2024-04-01,3.3607951262196734,4.190954275092161,1.519646707968683,6.86226184221564
2024-05-01,3.244278584003113,4.223016858254748,1.4988249223544927,6.947208794155003
2024-06-01,2.9702579486470926,4.248176243463778,1.4776387231024217,7.018713763825135
2024-07-01,2.9414757935583014,4.262026359002753,1.4507717503384638,7.073280967667043
2024-08-01,2.607144490692037,4.1811657218129215,1.3340638697308207,7.028267573895022
2024-09-01,2.4264830315416708,4.0169210125431425,1.13820336520229,6.8956386598839945
2024-10-01,2.578844053871343,3.851219909783328,0.9445763750894232,6.757863444477233
2024-11-01,2.719472461284833,3.690442464528241,0.7591004548014282,6.621784474255055
2024-12-01,2.870690967509981,3.729480302727808,0.7762699730151894,6.682690632440426
2025-01-01,2.9909783078999608,3.8273859450710224,0.8547945596392896,6.799977330502755
2025-02-01,2.8015834477613355,3.857772345906352,0.8679899643083306,6.847554727504374
2025-03-01,2.381981462805549,3.933880960060646,0.9288391073268492,6.938922812794443
2025-04-01,2.32538823025783,3.924913076367961,0.9063176811429519,6.9435084715929705
2025-05-01,2.3772651073680873,3.802810265687295,0.7721698701881277,6.833450661186462
2025-06-01,2.680453865910226,3.694724877574446,0.6533749141576943,6.736074840991197
2025-07-01,2.742618052167134,3.660189106143233,0.6093128768451592,6.711065335441306
2025-08-01,2.9385917430316155,3.6910842907508026,0.6317311645502732,6.750437416951332
2025-09-01,3.0225715847133294,3.718787166151241,0.6518884142141768,6.785685918088305
2025-10-01,2.729136238202212,3.6879923171932014,0.6143749321212066,6.761609702265196
2025-11-01,2.6964439164939513,3.6849057050758645,0.6053044912567085,6.76450691889502
2025-12-01,2.653304114557753,3.6148810742685926,0.5299492492077551,6.69981289932943
2026-01-01,2.391201432150014,3.5300479842396935,0.4403664925795212,6.619729475899866
2026-02-01,2.4340041103732224,3.393843238936514,0.2999289497562514,6.487757528116777
2026-03-01,3.2859577528651984,3.3450847237196424,0.24739765615688203,6.442771791282403
2026-04-01,3.7792458367415627,3.328988814247178,0.22793851534690868,6.430039113147448
