,FEDFUNDS,INF,UNRATE,INDPRO_GROWTH,M2_GROWTH,SENTIMENT_CHANGE
FEDFUNDS,1.0,0.07183982103646816,-0.570438937777925,0.060867087213108684,-0.17495095330601393,-0.023003704052397975
INF,0.07183982103646816,1.0,-0.15824116456955126,0.21801254107444604,-0.21736171328241,-0.09556261447917189
UNRATE,-0.570438937777925,-0.15824116456955126,1.0,-0.06060359940870274,0.3418590609119921,0.0011682420047545777
INDPRO_GROWTH,0.060867087213108684,0.21801254107444604,-0.06060359940870274,1.0,-0.39746252864341375,0.15300817840096056
M2_GROWTH,-0.17495095330601393,-0.21736171328241,0.3418590609119921,-0.39746252864341375,1.0,-0.231631809620872
SENTIMENT_CHANGE,-0.023003704052397975,-0.09556261447917189,0.0011682420047545777,0.15300817840096056,-0.231631809620872,1.0
