response,horizon,shock,variance_share
FEDFUNDS,1,UNRATE,0.0
FEDFUNDS,1,INDPRO_GROWTH,0.0
FEDFUNDS,1,SENTIMENT_CHANGE,0.0
FEDFUNDS,2,INF,0.04117929992636292
FEDFUNDS,2,FEDFUNDS,0.9452669313324823
FEDFUNDS,2,UNRATE,0.004153453226755281
FEDFUNDS,2,INDPRO_GROWTH,0.008557505153140027
FEDFUNDS,2,SENTIMENT_CHANGE,0.0008428103612594474
FEDFUNDS,3,INF,0.04851069938793164
FEDFUNDS,3,FEDFUNDS,0.9247995779188323
FEDFUNDS,3,UNRATE,0.01088673805452871
FEDFUNDS,3,INDPRO_GROWTH,0.015280044190006623
FEDFUNDS,3,SENTIMENT_CHANGE,0.0005229404487007044
FEDFUNDS,4,INF,0.04848479587139329
FEDFUNDS,4,FEDFUNDS,0.9095154777414001
FEDFUNDS,4,UNRATE,0.01538503108147237
FEDFUNDS,4,INDPRO_GROWTH,0.02625849178440124
FEDFUNDS,4,SENTIMENT_CHANGE,0.00035620352133315696
FEDFUNDS,5,INF,0.041799416177277254
FEDFUNDS,5,FEDFUNDS,0.9060118127265967
FEDFUNDS,5,UNRATE,0.017644892248001504
FEDFUNDS,5,INDPRO_GROWTH,0.03423489348373049
FEDFUNDS,5,SENTIMENT_CHANGE,0.0003089853643941396
FEDFUNDS,6,INF,0.03754096835968481
FEDFUNDS,6,FEDFUNDS,0.9025835400666421
FEDFUNDS,6,UNRATE,0.01927039872391524
FEDFUNDS,6,INDPRO_GROWTH,0.040348796199554136
FEDFUNDS,6,SENTIMENT_CHANGE,0.00025629665020392205
FEDFUNDS,7,INF,0.035409706163643966
FEDFUNDS,7,FEDFUNDS,0.8988228759283975
FEDFUNDS,7,UNRATE,0.020064125465458684
FEDFUNDS,7,INDPRO_GROWTH,0.045508881235031495
FEDFUNDS,7,SENTIMENT_CHANGE,0.000194411207468464
FEDFUNDS,8,INF,0.03415266723879303
FEDFUNDS,8,FEDFUNDS,0.8949439874137967
FEDFUNDS,8,UNRATE,0.019964315083494326
FEDFUNDS,8,INDPRO_GROWTH,0.05074279678127335
FEDFUNDS,8,SENTIMENT_CHANGE,0.00019623348264261617
FEDFUNDS,9,INF,0.03309074959835567
FEDFUNDS,9,FEDFUNDS,0.8913750466081818
FEDFUNDS,9,UNRATE,0.01919241328421525
FEDFUNDS,9,INDPRO_GROWTH,0.056101925702499736
FEDFUNDS,9,SENTIMENT_CHANGE,0.0002398648067475443
FEDFUNDS,10,INF,0.03245378330123301
FEDFUNDS,10,FEDFUNDS,0.8878844223042861
FEDFUNDS,10,UNRATE,0.018241685760942244
FEDFUNDS,10,INDPRO_GROWTH,0.06115632784918567
FEDFUNDS,10,SENTIMENT_CHANGE,0.00026378078435296157
FEDFUNDS,11,INF,0.032142284667818426
FEDFUNDS,11,FEDFUNDS,0.8844458265439926
FEDFUNDS,11,UNRATE,0.017293825881047352
FEDFUNDS,11,INDPRO_GROWTH,0.06585041135988187
FEDFUNDS,11,SENTIMENT_CHANGE,0.00026765154725970835
FEDFUNDS,12,INF,0.03197016939503324
FEDFUNDS,12,FEDFUNDS,0.881141833177215
FEDFUNDS,12,UNRATE,0.016339668070367894
FEDFUNDS,12,INDPRO_GROWTH,0.07028329942035996
FEDFUNDS,12,SENTIMENT_CHANGE,0.0002650299370241309
FEDFUNDS,13,INF,0.031830581335335485
FEDFUNDS,13,FEDFUNDS,0.8779665789988722
FEDFUNDS,13,UNRATE,0.01538834414883194
FEDFUNDS,13,INDPRO_GROWTH,0.07455331132988859
FEDFUNDS,13,SENTIMENT_CHANGE,0.00026118418707198515
FEDFUNDS,14,INF,0.031748496288702924
FEDFUNDS,14,FEDFUNDS,0.8749352745249319
FEDFUNDS,14,UNRATE,0.014462178384325928
FEDFUNDS,14,INDPRO_GROWTH,0.07859219727627545
FEDFUNDS,14,SENTIMENT_CHANGE,0.0002618535257638881
FEDFUNDS,15,INF,0.03175763847342279
FEDFUNDS,15,FEDFUNDS,0.8720069705618109
FEDFUNDS,15,UNRATE,0.013581583167692078
FEDFUNDS,15,INDPRO_GROWTH,0.08238466473339527
FEDFUNDS,15,SENTIMENT_CHANGE,0.0002691430636790248
FEDFUNDS,16,INF,0.031854107388858154
FEDFUNDS,16,FEDFUNDS,0.8691463481723943
FEDFUNDS,16,UNRATE,0.012754093493476809
FEDFUNDS,16,INDPRO_GROWTH,0.08596487455952559
FEDFUNDS,16,SENTIMENT_CHANGE,0.0002805763857451042
FEDFUNDS,17,INF,0.03202073273169195
FEDFUNDS,17,FEDFUNDS,0.8663380654307002
FEDFUNDS,17,UNRATE,0.011980597661359275
FEDFUNDS,17,INDPRO_GROWTH,0.08936850890685873
FEDFUNDS,17,SENTIMENT_CHANGE,0.00029209526938980395
FEDFUNDS,18,INF,0.0322423883144125
FEDFUNDS,18,FEDFUNDS,0.8635874150371493
FEDFUNDS,18,UNRATE,0.011264669533485523
FEDFUNDS,18,INDPRO_GROWTH,0.09260419300160073
FEDFUNDS,18,SENTIMENT_CHANGE,0.0003013341133518193
FEDFUNDS,19,INF,0.03250455378846543
FEDFUNDS,19,FEDFUNDS,0.8609007844191708
FEDFUNDS,19,UNRATE,0.010612543705338767
FEDFUNDS,19,INDPRO_GROWTH,0.09567438101935806
FEDFUNDS,19,SENTIMENT_CHANGE,0.0003077370676669617
FEDFUNDS,20,INF,0.032793973064170125
FEDFUNDS,20,FEDFUNDS,0.8582780207086639
FEDFUNDS,20,UNRATE,0.010026848822128879
FEDFUNDS,20,INDPRO_GROWTH,0.09858905110211078
FEDFUNDS,20,SENTIMENT_CHANGE,0.00031210630292633
FEDFUNDS,21,INF,0.03310332232567995
FEDFUNDS,21,FEDFUNDS,0.855715040161454
FEDFUNDS,21,UNRATE,0.009507086789586137
FEDFUNDS,21,INDPRO_GROWTH,0.1013590876658755
FEDFUNDS,21,SENTIMENT_CHANGE,0.00031546305740428086
FEDFUNDS,22,INF,0.03342977044931031
FEDFUNDS,22,FEDFUNDS,0.8532090898745308
FEDFUNDS,22,UNRATE,0.00905192494184439
FEDFUNDS,22,INDPRO_GROWTH,0.10399087158506833
FEDFUNDS,22,SENTIMENT_CHANGE,0.00031834314924608225
FEDFUNDS,23,INF,0.033771611470956746
FEDFUNDS,23,FEDFUNDS,0.8507588828671042
FEDFUNDS,23,UNRATE,0.008659609166334077
FEDFUNDS,23,INDPRO_GROWTH,0.10648901571643633
FEDFUNDS,23,SENTIMENT_CHANGE,0.00032088077916856306
FEDFUNDS,24,INF,0.03412687197310413
FEDFUNDS,24,FEDFUNDS,0.8483623501741002
FEDFUNDS,24,UNRATE,0.008327943088552146
FEDFUNDS,24,INDPRO_GROWTH,0.10885981462325349
FEDFUNDS,24,SENTIMENT_CHANGE,0.0003230201409900141
UNRATE,1,INF,0.014987564507002947
UNRATE,1,FEDFUNDS,0.0001955145702823934
UNRATE,1,UNRATE,0.9848169209227149
UNRATE,1,INDPRO_GROWTH,0.0
UNRATE,1,SENTIMENT_CHANGE,0.0
UNRATE,2,INF,0.04345739092991334
UNRATE,2,FEDFUNDS,0.09588370638859024
UNRATE,2,UNRATE,0.8339692020425128
UNRATE,2,INDPRO_GROWTH,0.02573720351526157
UNRATE,2,SENTIMENT_CHANGE,0.0009524971237223304
UNRATE,3,INF,0.06316124577384023
UNRATE,3,FEDFUNDS,0.11382432510698891
UNRATE,3,UNRATE,0.7837157021595789
UNRATE,3,INDPRO_GROWTH,0.03859258399063919
UNRATE,3,SENTIMENT_CHANGE,0.0007061429689530285
UNRATE,4,INF,0.07748000845432049
UNRATE,4,FEDFUNDS,0.11665625285279785
UNRATE,4,UNRATE,0.7461949437497171
UNRATE,4,INDPRO_GROWTH,0.05829696846215522
UNRATE,4,SENTIMENT_CHANGE,0.0013718264810094576
UNRATE,5,INF,0.08713951358129492
UNRATE,5,FEDFUNDS,0.12496002725638927
UNRATE,5,UNRATE,0.7017310299666009
UNRATE,5,INDPRO_GROWTH,0.08258760102653796
UNRATE,5,SENTIMENT_CHANGE,0.0035818281691771875
UNRATE,6,INF,0.09452660547207727
UNRATE,6,FEDFUNDS,0.13199929497153437
UNRATE,6,UNRATE,0.6707882359817855
UNRATE,6,INDPRO_GROWTH,0.09633847502097911
UNRATE,6,SENTIMENT_CHANGE,0.006347388553624014
UNRATE,7,INF,0.10023267779438456
UNRATE,7,FEDFUNDS,0.13887747071029616
UNRATE,7,UNRATE,0.6457672030743319
UNRATE,7,INDPRO_GROWTH,0.10817645928915454
UNRATE,7,SENTIMENT_CHANGE,0.00694618913183305
UNRATE,8,INF,0.10575452787359362
UNRATE,8,FEDFUNDS,0.14653993401850296
UNRATE,8,UNRATE,0.6228251795195722
UNRATE,8,INDPRO_GROWTH,0.11845866448356078
UNRATE,8,SENTIMENT_CHANGE,0.006421694104770621
UNRATE,9,INF,0.11016540509350878
UNRATE,9,FEDFUNDS,0.15365120811035882
UNRATE,9,UNRATE,0.6025049042261919
UNRATE,9,INDPRO_GROWTH,0.127747358313792
UNRATE,9,SENTIMENT_CHANGE,0.005931124256148684
UNRATE,10,INF,0.1135530349253926
UNRATE,10,FEDFUNDS,0.16079370872172732
UNRATE,10,UNRATE,0.5839052825674452
UNRATE,10,INDPRO_GROWTH,0.13623647627271018
UNRATE,10,SENTIMENT_CHANGE,0.0055114975127247825
UNRATE,11,INF,0.11702188594775802
UNRATE,11,FEDFUNDS,0.16738446244419622
UNRATE,11,UNRATE,0.5670749229595212
UNRATE,11,INDPRO_GROWTH,0.1433436988933294
UNRATE,11,SENTIMENT_CHANGE,0.005175029755195356
UNRATE,12,INF,0.11986934793136525
UNRATE,12,FEDFUNDS,0.17322986703297094
UNRATE,12,UNRATE,0.5523214825247156
UNRATE,12,INDPRO_GROWTH,0.1496018573605605
UNRATE,12,SENTIMENT_CHANGE,0.004977445150387945
UNRATE,13,INF,0.12168546804613378
UNRATE,13,FEDFUNDS,0.17873120372415852
UNRATE,13,UNRATE,0.5392904463799907
